ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecieCodigo;ns1:ProductoCodigo;ns1:Litros
2021;2;3;303;303004;-;02;5;2;11;8;5000
2021;2;3;304;304002;-;40;11;2;4;8;45000
2021;2;6;317;317007;-;02;11;3;11;8;73000
2021;2;6;318;318003;-;01;5;2;4;9;250
2021;2;8;314;314001;-;01;5;2;11;8;4000
2021;2;8;314;314001;-;01;5;3;11;8;2000
2021;2;8;314;314008;-;02;5;2;11;8;32400
2021;2;10;307;307002;-;02;11;3;11;8;30000
2021;2;10;308;308002;-;01;5;2;11;8;80000
2021;2;10;308;308005;-;02;11;2;11;8;250000
2021;2;10;308;308005;-;02;11;3;11;8;230850
2021;2;10;309;309001;-;02;5;2;11;8;21550
2021;2;10;309;309003;-;02;5;2;11;8;21600
2021;2;10;309;309004;-;01;11;2;11;8;70000
2021;2;10;312;312002;-;02;8;2;11;8;3900
2021;2;11;306;306003;-;02;1;4;11;8;600
2021;2;11;307;307001;-;02;5;2;11;8;8500
2021;2;14;313;313001;-;40;5;2;11;8;54000
2021;2;19;315;315008;-;02;9;2;11;8;19000
2021;2;24;315;315005;-;02;11;2;11;8;36000
2021;4;2;505;505004;-;01;5;3;11;8;100000
2021;4;2;505;505006;-;02;11;3;11;8;150000
2021;4;2;505;505006;-;02;11;4;11;8;91000
2021;4;2;505;505006;-;16;11;2;11;8;56000
2021;4;5;503;503006;-;03;11;4;11;8;110000
2021;4;5;505;505003;-;02;11;3;11;8;80000
2021;4;5;505;505005;-;02;5;3;11;8;72000
2021;4;5;505;505005;-;02;5;4;11;8;120750
2021;4;5;505;505005;-;02;11;4;11;8;676772
2021;4;5;505;505005;-;02;11;5;11;8;418200
2021;4;5;506;506005;-;01;5;2;11;8;52000
2021;4;5;506;506005;-;01;11;2;11;8;65500
2021;4;5;506;506005;-;02;5;2;11;8;52000
2021;4;5;506;506005;-;02;5;4;11;8;1073000
2021;4;5;506;506005;-;02;11;3;11;8;408195
2021;4;5;506;506005;-;02;11;4;11;8;292000
2021;4;5;506;506005;-;02;11;5;11;8;418100
2021;4;5;506;506006;-;02;1;4;11;8;271455
2021;4;5;506;506006;-;02;1;4;11;9;30172
2021;4;5;506;506006;-;02;5;2;11;8;27000
2021;4;5;506;506006;-;02;5;3;11;8;182500
2021;4;5;506;506006;-;02;11;3;11;8;208000
2021;4;6;506;506003;-;01;11;2;11;8;13680
2021;4;6;506;506003;-;02;5;2;11;8;59000
2021;4;6;506;506003;-;02;5;3;11;8;3240
2021;4;6;506;506003;-;02;9;2;11;8;32215
2021;4;6;506;506003;-;02;9;2;11;9;2418
2021;4;6;506;506004;-;01;12;2;4;8;7200
2021;4;6;506;506004;-;01;12;2;11;8;18000
2021;4;6;506;506004;-;02;5;2;11;8;153950
2021;4;6;506;506004;-;02;11;3;11;8;182000
2021;4;6;506;506004;-;02;11;4;11;8;270000
2021;4;6;506;506005;-;02;5;2;11;8;113500
2021;4;6;506;506005;-;02;5;3;11;8;2300
2021;4;6;506;506005;-;02;11;2;11;8;295000
2021;4;6;506;506006;-;02;12;3;11;8;320000
2021;4;6;506;506009;-;01;11;3;11;8;45500
2021;4;6;506;506009;-;02;8;2;11;8;134000
2021;4;7;504;504001;-;02;11;3;11;8;540000
2021;4;8;0;0;-;18;5;1;11;9;1200
2021;4;9;502;502003;-;01;5;3;11;8;240000
2021;4;9;502;502003;-;01;8;3;11;8;109500
2021;4;9;502;502003;-;02;8;3;11;8;141300
2021;4;9;502;502003;-;02;11;3;11;8;54750
2021;4;9;502;502003;-;02;11;4;11;8;563000
2021;4;9;502;502004;-;01;5;3;11;8;65700
2021;4;10;501;501006;-;02;5;3;11;8;338150
2021;4;11;501;501002;-;01;5;2;11;8;29200
2021;4;11;501;501002;-;02;5;2;11;8;77821
2021;4;11;501;501002;-;02;8;6;11;8;2516350
2021;4;12;502;502003;-;02;5;2;11;8;60000
2021;4;12;502;502004;-;02;11;3;11;8;182500
2021;4;12;502;502006;-;02;5;2;11;8;21000
2021;4;12;503;503001;-;02;11;4;11;8;56000
2021;4;12;503;503002;-;02;5;2;11;8;100000
2021;4;13;0;0;-;18;5;1;11;8;79300
2021;4;13;503;503003;-;01;11;2;11;8;160000
2021;4;13;503;503003;-;02;5;3;11;8;100375
2021;4;13;503;503003;-;02;5;4;11;8;730000
2021;4;13;503;503003;-;02;11;2;11;8;273750
2021;4;13;503;503007;-;01;11;4;11;8;25116
2021;4;13;503;503007;-;02;5;2;11;8;85000
2021;4;13;503;503007;-;02;5;3;11;8;316800
2021;4;13;503;503007;-;02;5;4;11;8;210200
2021;4;13;503;503007;-;02;11;4;11;8;180000
2021;4;14;502;502006;-;02;5;3;11;8;36500
2021;4;14;503;503004;-;01;11;2;11;8;146000
2021;4;14;504;504002;-;02;5;4;11;8;98000
2021;4;14;504;504002;-;02;11;2;11;8;195500
2021;4;14;504;504005;-;02;11;5;11;8;180000
2021;4;14;506;506001;-;01;5;5;11;8;145000
2021;4;14;506;506001;-;02;5;2;11;8;36500
