ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecieCodigo;ns1:TipoProduccionCodigo;ns1:Litros;ns1:CantidadTenedoresPorProduccionLeche
2021;1;2;204;204001;-;02;1;3;11;4;10500;1
2021;1;2;204;204001;-;02;1;3;11;5;3000;1
2021;1;3;0;0;-;18;5;1;11;1;16920;1
2021;1;3;0;0;-;18;5;1;11;4;1080;1
2021;1;12;203;203003;-;01;11;2;11;1;90000;1
2021;1;12;203;203003;-;01;11;2;11;4;750;1
2021;1;12;203;203003;-;01;11;2;11;5;10500;1
2021;1;12;203;203003;-;01;11;5;11;1;75000;1
2021;1;12;203;203003;-;01;11;5;11;4;600;1
2021;1;12;203;203004;-;01;11;2;11;1;113000;2
2021;1;12;203;203004;-;01;11;2;11;4;1600;2
2021;1;12;203;203004;-;01;11;2;11;5;7500;2
2021;1;12;203;203004;-;02;11;2;11;1;40500;1
2021;1;12;203;203004;-;02;11;2;11;4;300;1
2021;1;12;203;203004;-;02;11;2;11;5;2000;1
2021;2;1;302;302002;-;01;5;5;11;1;49000;1
2021;2;1;302;302002;-;01;5;5;11;4;2400;1
2021;2;1;302;302002;-;01;5;5;11;5;15000;1
2021;2;1;302;302002;-;02;5;2;11;2;3000;1
2021;2;1;302;302002;-;02;5;5;11;1;1048130;1
2021;2;1;302;302002;-;02;5;5;11;4;2524;1
2021;2;1;302;302002;-;02;5;5;11;5;50380;1
2021;2;1;302;302003;-;02;2;4;11;2;549470;1
2021;2;1;302;302003;-;02;2;4;11;4;1000;1
2021;2;1;302;302003;-;02;2;4;11;5;65000;1
2021;2;1;302;302003;-;02;5;2;11;1;17000;1
2021;2;1;302;302003;-;02;5;2;11;4;500;1
2021;2;1;302;302003;-;02;5;2;11;5;1500;1
2021;2;1;302;302003;-;02;5;3;11;1;45625;1
2021;2;1;302;302003;-;02;5;3;11;2;706776;2
2021;2;1;302;302003;-;02;5;3;11;4;1660;2
2021;2;1;302;302003;-;02;5;3;11;5;46100;2
2021;2;1;302;302003;-;02;5;4;11;1;28800;1
2021;2;1;302;302003;-;02;11;4;11;1;360000;1
2021;2;1;302;302003;-;02;11;4;11;5;18000;1
2021;2;1;302;302003;-;02;14;5;11;2;1090000;1
2021;2;1;302;302003;-;02;14;5;11;4;4500;1
2021;2;1;302;302003;-;02;14;5;11;5;43600;1
2021;2;1;302;302005;-;02;5;2;11;2;69600;1
2021;2;1;302;302005;-;02;5;3;11;2;754479;2
2021;2;1;302;302005;-;02;5;3;11;4;4300;2
2021;2;1;302;302005;-;02;5;3;11;5;63600;2
2021;2;1;302;302006;-;02;5;2;11;2;77241;1
2021;2;1;302;302006;-;02;5;2;11;4;2000;1
2021;2;1;302;302006;-;02;5;2;11;5;10000;1
2021;2;1;304;304005;-;02;5;3;11;2;800000;1
2021;2;1;304;304005;-;02;5;3;11;4;3600;1
2021;2;1;304;304005;-;02;5;3;11;5;25000;1
2021;2;1;304;304006;-;02;5;2;11;2;141200;2
2021;2;1;304;304006;-;02;5;2;11;4;1060;2
2021;2;1;304;304006;-;02;5;2;11;5;7500;2
2021;2;1;304;304006;-;02;5;4;11;2;438000;1
2021;2;1;304;304006;-;02;5;4;11;4;1500;1
2021;2;1;304;304006;-;02;5;4;11;5;7000;1
2021;2;1;304;304006;-;02;11;3;11;2;181912;1
2021;2;1;304;304006;-;02;11;3;11;4;5400;1
2021;2;1;304;304006;-;02;11;3;11;5;9000;1
2021;2;2;301;301001;-;02;5;6;11;2;2101292;1
2021;2;2;301;301001;-;02;5;6;11;4;3110;1
