ATRIBUTO;XML;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
Actividad;ActividadCodigo;La actividad se extrae del tercer y cuarto dígito del número de Dicose del declarante en función de los criterios establecidos en el momento de su asignación.;Declaración Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de códigos “Actividades”
Animales Por Categoría PD+AD;AnimalesPorCategoriaPD_AD;Suma de cantidad de animales Propios y Ajenos declarados dentro del establecimiento por categoría;Declaración Jurada Formularios A1,A3,A4,A5 y A6;Hay casos aislados de animales dentro de establecimientos sin tierra declarada;La suma de animales propios dentro y ajenos dentro es la que se ha utilizado tradicionalmente por Dicose
Animales Por Categoría PD+PF;AnimalesPorCategoriaPD_PF;Suma de cantidad de animales Propios declarados dentro o fuera del establecimiento por categoría;Declaración Jurada Formularios A1,A3,A4,A5 y A6;La cantidad de animales propios fuera no coincide con los ajenos dentro, lo que ocasiona que el total de existencias pueda variar según el criterio adoptado;
Área de Enumeración (AAEE);AreaEnumeracion;Área de enumeración en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;Calculado a partir de la Declaración Jurada formulario A1, el mapa de áreas de enumeración de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones están en el catastro rural. En algunos casos los padrones declarados se encuentran según el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados"
Área de Supervisión;AreaSupervision;Área de Supervisión en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;Ver área de enumeración;Ver área de enumeración;Ver área de enumeración
Categoría;CategoriaCodigo;Categoría de animal;Declaración Jurada Formularios A1,A3,A4,A5 y A6;Se han identificado algunos casos de inconsistencias entre el desglose de ganado lechero por categorias del A3 y el total de bovinos en el establecimiento que figuran en el A1;Cuenta con una tabla de códigos “Categorías”
Departamento;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del área de enumeración en la que está clasificado el establecimiento;
Ejercicio;Ejercicio;Ejercicio ganadera al que corresponde la declaración;Declaración Jurada Formulario A1;No hay;
Especie;EspecieCodigo;Especie de los animales;Declaración Jurada Formularios A1, A3,A4,A5 y A6;Las existencias de Suinos, Caprinos y Yeguarizos se incluyen a modo de referencia ya que no se han hecho controles de calidad sobre las mismas;Cuenta con una tabla de códigos “Especies”
Estrato;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento según la superficie declarada. Los datos de lechería consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;Calculado SNIG a partir de Declaración Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de códigos “Estratos”
Giro;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;Declaración Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de códigos “Giros”
Naturaleza Jurídica;NaturalezaJuridicaCodigo;Naturaleza jurídica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de códigos “Naturalezas Jurídicas”
Seccional Policial;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;Registro de Tenedores de ganado;;
