ATRIBUTO;XML;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
Actividad;ActividadCodigo;La actividad se extrae del tercer y cuarto d¡gito del n£mero de Dicose del declarante en funci¢n de los criterios establecidos en el momento de su asignaci¢n.;Declaraci¢n Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de c¢digos ?Actividades?
Consumo;AnimalesPorEspecieConsumoPD_AD;Cantidad de cabezas declaradas como consumo por especie;Declaraci¢n Jurada Formulario A1;No hay;
Mortandad;AnimalesPorEspecieMortandadPD_AD;Cantidad de cabezas declaradas como Mortandad por especie;Declaraci¢n Jurada Formularios A1, A3,A4,A5 y A6;No hay;
Nacimientos;AnimalesPorEspecieNacimientosPD_AD;Cantidad  de nacimientos declarados por especie;Declaraci¢n Jurada Formulario A1;No hay;El dato est  disponible solo para bovinos
Animales Por Especie PD_AD;AnimalesPorEspeciePD_AD;Suma de animales propios dentro y ajenos dentro por especie;Declaraci¢n Jurada Formularios A1, A3,A4,A5 y A6;Hay casos aislados de animales dentro de establecimientos sin tierra declarada;La suma de animales propios dentro y ajenos dentro es la que se ha utilizado tradicionalmente por Dicose
Animales Por Especie PD_PF;AnimalesPorEspeciePD_PF;Suma de animales propios dentro y propios fuera por especie;Declaraci¢n Jurada Formularios A1, A3,A4,A5 y A6;La cantidad de animales propios fuera no coincide con los ajenos dentro, lo que ocasiona que el total de existencias pueda variar seg£n el criterio adoptado;Se utiliza para medir las existencias de ganado asociada a la producci¢n lechera
µrea de Enumeraci¢n (AAEE);AreaEnumeracion;µrea de enumeraci¢n en la que se encuentra el establecimiento en funci¢n de los padrones declarados. Cuando pertenece a varias se considera la de mayor  rea;Calculado a partir de la Declaraci¢n Jurada formulario A1, el mapa de  reas de enumeraci¢n de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones est n en el catastro rural. En algunos casos los padrones declarados se encuentran seg£n el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados"
µrea de Supervisi¢n;AreaSupervision;µrea de Supervisi¢n en la que se encuentra el establecimiento en funci¢n de los padrones declarados. Cuando pertenece a varias se considera la de mayor  rea;Ver  rea de enumeraci¢n;Ver  rea de enumeraci¢n;Ver  rea de enumeraci¢n
Cantidad Tenedores por Especie;CantidadTenedoresPorEspecie;Cantidad de productores por especie;Declaraci¢n Jurada Formularios A1, A3,A4,A5 y A6;No hay;
Departamento;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del  rea de enumeraci¢n en la que est  clasificado el establecimiento;
Ejercicio;Ejercicio;Ejercicio ganadera al que corresponde la declaraci¢n;Declaraci¢n Jurada Formulario A1;No hay;
Especie;EspecieCodigo;Especie de los animales;Declaraci¢n Jurada Formularios A1, A3,A4,A5 y A6;Las existencias de Suinos, Caprinos y Yeguarizos se incluyen a modo de referencia ya que no se han hecho controles de calidad sobre las mismas;Cuenta con una tabla de c¢digos ?Especies?
Estrato;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento seg£n la superficie declarada. Los datos de lecher¡a consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;Calculado SNIG a partir de Declaraci¢n Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de c¢digos ?Estratos?
Giro;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;Declaraci¢n Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de c¢digos ?Giros?
Naturaleza Jur¡dica;NaturalezaJuridicaCodigo;Naturaleza jur¡dica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de c¢digos ?Naturalezas Jur¡dicas?
Seccional Policial;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;Registro de Tenedores de ganado;;
EspecializacionMGAPCodigo;EspecializacionMGAPCodigo;Tipo de especialización calculado en funcion de los datos declarados, usando los mismos criterios que los usados por DIEA para el anuario del MGAP;Calculado SNIG a partir de Declaraci¢n Jurada Formulario A1;;
Tipo de Produccion;TipoProduccionMGAPCodigo;Tipo de especialización calculado en funcion de los datos declarados, usando los mismos criterios que los usados por DIEA para el anuario del MGAP;Tabla de tipos de producción;;
