ATRIBUTO;XML;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
Actividad;ActividadCodigo;La actividad se extrae del tercer y cuarto dígito del número de Dicose del declarante en función de los criterios establecidos en el momento de su asignación.;Declaración Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de códigos “Actividades”
Área de Enumeración (AAEE);AreaEnumeracion;Área de enumeración en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;Calculado a partir de la Declaración Jurada formulario A1, el mapa de áreas de enumeración de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones están en el catastro rural. En algunos casos los padrones declarados se encuentran según el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados"
Área de Supervisión;AreaSupervision;Área de Supervisión en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;Ver área de enumeración;Ver área de enumeración;Ver área de enumeración
Cantidad de Tenedores;CantidadTenedores;Cantidad de números de Dicose que emitieron una Declaración Jurada;Declaración Jurada;No hay;Incluye declarantes de todas las actividades
Departamento;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del área de enumeración en la que está clasificado el establecimiento;
Ejercicio;Ejercicio;Ejercicio ganadera al que corresponde la declaración;Declaración Jurada Formulario A1;No hay;
Estrato;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento según la superficie declarada. Los datos de lechería consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;Calculado SNIG a partir de Declaración Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de códigos “Estratos”
Giro;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;Declaración Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de códigos “Giros”
Naturaleza Jurídica;NaturalezaJuridicaCodigo;Naturaleza jurídica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de códigos “Naturalezas Jurídicas”
Seccional Policial;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;Registro de Tenedores de ganado;;
Superficie;Superficie;Superficie total declarada.Se calcula como la suma de las hectáreas según tenencia salvo cuando esta es cero, que se utiliza la suma de los usos;Declaración Jurada Formulario A1;Puede haber diferencias en algunos casos entre la superficie total y el desglose de superficies por tenencia y uso del suelo;
Superficie Ganadera;SuperficieGanadera;Superficie total, excluyendo tierras de labranza, huertas, frutales y viñedos, y el 70% de montes artificiales;Calculado SNIG a partir de Declaración Jurada Formulario A1;Ver superficie total;
Unidades Ganaderas;UnidadesGanaderas;Unidades ganaderas totales del establecimiento incluyendo bovinos de carne y leche, ovinos y equinos.;Calculado SNIG a partir de Declaración Jurada Formulario A1, A3 y A5  y factores de conversión establecidos por DIEA;Hay casos aislados de establecimientos que declaran animales y no declaran superficie;Los valores utilizados para la conversión se encuentran en la tabla “Categorías”
EspecializacionMGAPCodigo;EspecializacionMGAPCodigo;Tipo de especialización calculado en funcion de los datos declarados, usando los mismos criterios que los usados por DIEA para el anuario del MGAP;Calculado SNIG a partir de Declaraci¢n Jurada Formulario A1;;
Tipo de Produccion;TipoProduccionMGAPCodigo;Tipo de especialización calculado en funcion de los datos declarados, usando los mismos criterios que los usados por DIEA para el anuario del MGAP;Tabla de tipos de producción;;
