ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:ProductoCodigo;ns1:Litros
2022;1;2;204;204001;-;2;1;3;2;3;11;8;5000
2022;1;3;204;204001;-;18;5;1;1;1;4;8;200
2022;2;3;303;303004;-;2;5;2;2;3;11;8;5000
2022;2;3;304;304002;-;40;11;2;2;3;4;8;45000
2022;2;3;304;304002;-;40;11;2;2;3;11;8;19500
2022;2;8;314;314001;-;1;5;2;2;3;11;8;4000
2022;2;8;314;314001;-;1;5;3;2;3;11;8;2000
2022;2;8;314;314008;-;2;11;2;2;3;11;8;20000
2022;2;10;307;307002;-;2;11;2;2;3;11;8;3000
2022;2;10;308;308002;-;1;5;2;2;3;11;8;80000
2022;2;10;308;308005;-;2;11;2;2;3;11;8;250000
2022;2;10;308;308005;-;2;11;3;2;3;11;8;233600
2022;2;10;309;309001;-;2;5;2;2;3;11;8;65700
2022;2;10;309;309003;-;2;5;2;2;3;11;8;20000
2022;2;10;309;309004;-;1;11;2;2;3;11;9;70000
2022;2;10;309;309005;-;2;11;2;2;3;11;8;96300
2022;2;11;307;307001;-;2;5;2;2;3;11;8;16200
2022;2;14;313;313001;-;40;5;2;4;9;4;8;54000
2022;2;19;315;315008;-;2;9;2;2;3;11;8;30000
2022;2;24;315;315005;-;2;11;2;2;3;11;8;50000
2022;4;2;505;505004;-;1;5;3;2;3;11;8;120000
2022;4;2;505;505004;-;2;5;2;2;3;11;8;20000
2022;4;2;505;505006;-;2;11;2;2;3;11;8;59000
2022;4;2;505;505006;-;2;11;3;2;3;11;8;200000
2022;4;2;505;505006;-;2;11;4;2;3;11;8;94040
2022;4;5;503;503006;-;2;11;3;2;3;11;8;130000
2022;4;5;505;505003;-;2;11;3;2;3;11;8;82000
2022;4;5;505;505005;-;2;5;4;2;3;11;8;120750
2022;4;5;505;505005;-;2;11;4;2;3;11;8;442774
2022;4;5;505;505005;-;2;11;5;2;3;11;8;432000
2022;4;5;506;506005;-;1;11;2;2;3;11;8;65500
2022;4;5;506;506005;-;1;11;3;2;3;11;8;179112
2022;4;5;506;506005;-;2;5;2;2;3;11;8;52000
2022;4;5;506;506005;-;2;5;4;2;3;11;8;1200000
2022;4;5;506;506005;-;2;11;3;2;3;11;8;427200
2022;4;5;506;506005;-;2;11;4;2;3;11;8;248200
2022;4;5;506;506005;-;2;11;5;2;3;11;8;449700
2022;4;5;506;506006;-;2;1;4;2;3;11;8;271500
2022;4;5;506;506006;-;2;1;4;2;3;11;9;30150
2022;4;5;506;506006;-;2;5;2;2;3;11;8;28000
2022;4;5;506;506006;-;2;5;3;2;3;11;8;146000
2022;4;5;506;506006;-;2;11;3;2;3;11;8;280000
2022;4;6;505;505002;-;2;5;2;2;3;11;8;335800
2022;4;6;506;506003;-;1;11;2;2;3;4;8;16425
2022;4;6;506;506003;-;1;11;2;2;3;11;8;16425
2022;4;6;506;506003;-;2;5;2;2;3;11;8;141300
2022;4;6;506;506003;-;2;5;3;2;3;11;8;24000
2022;4;6;506;506003;-;2;9;2;2;3;11;8;34342
2022;4;6;506;506003;-;2;9;2;2;3;11;9;3520
2022;4;6;506;506004;-;1;12;2;2;3;4;8;7200
2022;4;6;506;506004;-;1;12;2;2;3;11;8;30000
2022;4;6;506;506004;-;2;11;2;2;3;11;8;68000
2022;4;6;506;506004;-;2;11;3;2;3;11;8;180000
2022;4;6;506;506004;-;2;11;4;2;3;11;8;250000
2022;4;6;506;506005;-;2;5;2;2;3;11;8;150000
2022;4;6;506;506005;-;2;5;3;2;3;11;8;1200
2022;4;6;506;506005;-;2;11;2;2;3;11;8;325115
2022;4;6;506;506006;-;2;12;3;2;3;11;8;420000
2022;4;6;506;506009;-;2;8;2;2;3;11;8;140000
2022;4;7;504;504001;-;2;11;3;2;3;11;8;550000
2022;4;8;0;0;-;18;5;1;1;1;11;8;500
2022;4;8;0;0;-;18;5;1;1;1;11;9;100
2022;4;9;502;502003;-;1;5;3;2;3;11;8;240000
2022;4;9;502;502003;-;1;8;3;2;3;11;8;110700
2022;4;9;502;502003;-;2;8;3;2;3;11;8;141300
2022;4;9;502;502003;-;2;11;3;2;3;11;8;36500
2022;4;9;502;502003;-;2;11;4;2;3;11;8;605000
2022;4;9;502;502004;-;1;5;3;2;3;11;8;54750
2022;4;11;501;501002;-;1;5;2;2;3;11;8;26000
2022;4;11;501;501002;-;2;5;2;1;1;11;8;75322
2022;4;11;501;501002;-;2;8;6;2;3;11;8;2344920
2022;4;12;502;502004;-;2;11;3;2;3;11;8;212393
2022;4;12;503;503002;-;2;5;2;2;3;11;8;100000
2022;4;13;0;0;-;63;5;1;1;1;11;8;79000
2022;4;13;503;503003;-;1;11;2;2;3;11;8;160000
2022;4;13;503;503003;-;2;5;3;2;3;11;8;100000
2022;4;13;503;503003;-;2;5;4;2;3;11;8;138700
2022;4;13;503;503003;-;2;11;2;2;3;11;8;288350
2022;4;13;503;503007;-;1;11;4;2;3;11;8;26112
2022;4;13;503;503007;-;2;5;2;2;3;11;8;110000
2022;4;13;503;503007;-;2;5;3;2;3;11;8;242300
2022;4;13;503;503007;-;2;11;3;2;3;11;8;109500
2022;4;13;503;503007;-;2;11;4;2;3;11;8;100000
2022;4;14;502;502006;-;2;5;3;2;3;11;8;38325
2022;4;14;503;503004;-;2;11;2;2;3;11;8;164250
2022;4;14;504;504002;-;2;11;2;2;3;11;8;208000
2022;4;14;504;504005;-;2;11;5;2;3;11;8;120000
2022;4;14;506;506001;-;1;5;5;2;3;11;8;145000
2022;4;14;506;506001;-;2;5;2;2;3;11;8;36500
2022;4;14;506;506001;-;2;5;4;2;3;11;8;304200
2022;4;16;501;501002;-;2;13;2;2;3;11;8;28000
2022;4;16;504;504006;-;1;5;2;2;3;11;8;142000
2022;4;16;504;504006;-;2;5;3;2;3;11;8;252000
2022;4;16;504;504006;-;2;5;4;2;3;11;8;376290
2022;4;16;504;504006;-;2;11;4;2;3;11;8;250000
2022;4;16;504;504006;-;2;11;4;2;3;11;9;77000
2022;4;16;504;504006;-;2;12;3;2;3;11;8;198520
2022;4;16;506;506001;-;1;5;3;2;3;11;8;40146
2022;4;16;506;506001;-;2;11;4;2;3;11;8;401500
2022;4;16;506;506007;-;2;11;2;2;3;11;8;410800
2022;4;16;506;506007;-;2;11;3;2;3;11;8;150000
2022;4;16;506;506007;-;2;11;4;2;3;11;8;292000
2022;4;16;506;506007;-;2;11;5;2;3;11;8;130000
2022;4;16;506;506008;-;1;5;2;2;3;11;8;130000
2022;4;17;503;503005;-;2;5;2;2;3;11;8;26900
2022;4;17;503;503005;-;2;5;3;2;3;11;8;336260
2022;4;17;503;503005;-;2;11;2;2;3;11;8;18250
2022;4;17;503;503006;-;1;5;2;2;3;11;8;168815
2022;4;17;503;503006;-;1;11;4;2;3;11;8;432000
2022;4;17;503;503006;-;1;14;5;2;3;11;8;76650
2022;4;17;503;503006;-;2;5;2;2;3;11;8;36500
2022;4;17;503;503006;-;2;5;3;2;3;11;8;279225
2022;4;17;503;503006;-;2;5;4;2;3;11;8;505300
2022;4;17;503;503006;-;2;11;3;2;3;11;8;218700
2022;4;17;503;503007;-;2;5;2;2;3;11;8;54750
2022;4;17;503;503007;-;2;11;2;2;3;11;8;68000
2022;4;17;503;503007;-;2;11;3;2;3;11;8;91250
2022;4;17;505;505001;-;1;5;6;2;3;11;8;150000
2022;4;17;505;505001;-;1;11;5;2;3;11;8;18000
2022;4;17;505;505001;-;2;5;5;2;3;11;8;225980
2022;4;17;505;505001;-;2;11;2;2;3;11;8;52000
2022;4;17;505;505004;-;2;5;4;2;3;11;8;285000
2022;4;17;505;505004;-;2;5;5;2;3;11;8;547500
2022;4;17;505;505004;-;2;11;4;2;3;11;8;546000
2022;4;17;505;505004;-;2;11;4;2;3;11;9;438000
2022;4;17;505;505006;-;1;11;3;2;3;11;8;400000
2022;4;17;505;505006;-;2;5;5;2;3;11;8;503700
2022;4;18;505;505001;-;1;5;3;2;3;11;8;281500
2022;4;18;505;505001;-;1;11;2;2;3;11;8;110000
