ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:TipoProduccionCodigo;ns1:Litros;ns1:CantidadTenedoresPorProduccionLeche
2022;1;2;204;204001;-;2;1;3;2;3;11;3;5000;1
2022;1;2;204;204001;-;2;1;3;2;3;11;4;17000;1
2022;1;2;204;204001;-;2;1;3;2;3;11;5;8000;1
2022;1;2;204;204001;-;18;5;1;1;1;11;1;74000;1
2022;1;2;204;204001;-;18;5;1;1;1;11;4;1000;1
2022;1;2;204;204001;-;18;5;1;1;1;11;5;15000;1
2022;1;3;0;0;-;18;5;1;1;1;11;1;14400;1
2022;1;3;0;0;-;18;5;1;1;1;11;4;1100;1
2022;1;3;204;204001;-;18;5;1;1;1;4;3;200;1
2022;1;12;203;203002;-;1;11;4;2;3;11;1;34000;1
2022;1;12;203;203002;-;1;11;4;2;3;11;4;200;1
2022;1;12;203;203002;-;1;11;4;2;3;11;5;800;1
2022;1;12;203;203003;-;1;11;2;2;3;11;1;88000;1
2022;1;12;203;203003;-;1;11;2;2;3;11;4;800;1
2022;1;12;203;203003;-;1;11;2;2;3;11;5;11000;1
2022;1;12;203;203003;-;1;11;5;2;3;11;1;72000;1
2022;1;12;203;203003;-;1;11;5;2;3;11;4;500;1
2022;1;12;203;203004;-;1;11;2;2;3;11;1;109000;2
2022;1;12;203;203004;-;1;11;2;2;3;11;4;2000;2
2022;1;12;203;203004;-;1;11;2;2;3;11;5;7700;2
2022;1;12;203;203004;-;2;11;2;2;3;11;1;41700;1
2022;1;12;203;203004;-;2;11;2;2;3;11;4;300;1
2022;1;12;203;203004;-;2;11;2;2;3;11;5;2000;1
2022;2;1;302;302002;-;1;5;5;2;3;11;1;49000;1
2022;2;1;302;302002;-;1;5;5;2;3;11;4;2400;1
2022;2;1;302;302002;-;1;5;5;2;3;11;5;15000;1
2022;2;1;302;302002;-;2;5;5;2;3;11;2;986455;1
2022;2;1;302;302002;-;2;5;5;2;3;11;4;2602;1
2022;2;1;302;302002;-;2;5;5;2;3;11;5;41090;1
2022;2;1;302;302003;-;2;2;4;2;3;11;2;555018;1
2022;2;1;302;302003;-;2;2;4;2;3;11;4;1800;1
2022;2;1;302;302003;-;2;2;4;2;3;11;5;30500;1
2022;2;1;302;302003;-;2;5;3;2;3;11;1;45625;1
2022;2;1;302;302003;-;2;5;3;2;3;11;2;759010;2
2022;2;1;302;302003;-;2;5;3;2;3;11;4;1710;2
2022;2;1;302;302003;-;2;5;3;2;3;11;5;60630;2
2022;2;1;302;302003;-;2;11;4;2;3;11;1;380000;1
2022;2;1;302;302003;-;2;11;4;2;3;11;5;24000;1
2022;2;1;302;302003;-;2;14;5;2;3;11;2;982228;1
2022;2;1;302;302003;-;2;14;5;2;3;11;4;4500;1
2022;2;1;302;302003;-;2;14;5;2;3;11;5;43600;1
2022;2;1;302;302005;-;2;5;2;2;3;11;2;60000;1
2022;2;1;302;302005;-;2;5;3;2;3;11;2;830544;2
2022;2;1;302;302005;-;2;5;3;2;3;11;4;4300;2
2022;2;1;302;302005;-;2;5;3;2;3;11;5;53000;2
2022;2;1;302;302006;-;2;5;2;2;3;11;2;69674;1
2022;2;1;302;302006;-;2;5;2;2;3;11;4;2000;1
2022;2;1;302;302006;-;2;5;2;2;3;11;5;10000;1
2022;2;1;304;304005;-;2;5;3;2;3;11;2;780000;1
2022;2;1;304;304005;-;2;5;3;2;3;11;4;400;1
2022;2;1;304;304005;-;2;5;3;2;3;11;5;8000;1
2022;2;1;304;304006;-;2;5;2;2;3;11;2;141200;2
2022;2;1;304;304006;-;2;5;2;2;3;11;4;1060;2
2022;2;1;304;304006;-;2;5;2;2;3;11;5;7500;2
2022;2;1;304;304006;-;2;5;4;2;3;11;2;438000;1
2022;2;1;304;304006;-;2;5;4;2;3;11;4;1500;1
2022;2;1;304;304006;-;2;5;4;2;3;11;5;7000;1
2022;2;1;304;304006;-;2;11;3;2;3;11;2;191008;1
2022;2;1;304;304006;-;2;11;3;2;3;11;4;745;1
2022;2;1;304;304006;-;2;11;3;2;3;11;5;2379;1
2022;2;2;301;301001;-;2;8;2;2;3;11;2;223000;1
2022;2;2;301;301001;-;2;8;2;2;3;11;4;365;1
2022;2;2;301;301001;-;2;8;2;2;3;11;5;2500;1
2022;2;2;301;301001;-;2;11;3;2;3;11;2;258677;1
2022;2;2;301;301001;-;2;11;3;2;3;11;4;1200;1
2022;2;2;301;301001;-;2;11;3;2;3;11;5;3500;1
2022;2;2;301;301001;-;2;11;6;2;3;11;2;2158129;1
2022;2;2;301;301001;-;2;11;6;2;3;11;4;3320;1
2022;2;2;301;301001;-;2;11;6;2;3;11;5;39560;1
2022;2;2;301;301002;-;2;2;6;2;3;11;2;1024971;1
2022;2;2;301;301002;-;2;2;6;2;3;11;4;2100;1
2022;2;2;301;301002;-;2;2;6;2;3;11;5;72000;1
2022;2;2;301;301002;-;2;5;2;2;3;11;2;48000;1
2022;2;2;301;301002;-;2;5;3;2;3;11;2;712748;1
2022;2;2;301;301002;-;2;5;3;2;3;11;4;1500;1
2022;2;2;301;301002;-;2;5;3;2;3;11;5;1500;1
2022;2;2;301;301002;-;2;5;4;2;3;11;2;805000;1
2022;2;2;301;301002;-;2;5;5;2;3;11;2;2581049;2
2022;2;2;301;301002;-;2;5;5;2;3;11;4;7300;2
2022;2;2;301;301002;-;2;5;5;2;3;11;5;63840;2
2022;2;2;301;301002;-;2;11;3;2;3;11;1;47000;1
2022;2;2;301;301002;-;2;11;3;2;3;11;2;295650;1
2022;2;2;301;301002;-;2;11;3;2;3;11;4;2200;1
2022;2;2;301;301002;-;2;11;3;2;3;11;5;7500;1
2022;2;2;301;301002;-;2;11;5;2;3;11;2;436165;1
2022;2;2;301;301002;-;2;11;5;2;3;11;4;3650;1
2022;2;2;301;301002;-;2;11;5;2;3;11;5;36000;1
2022;2;2;301;301003;-;2;5;2;2;3;11;2;373875;2
2022;2;2;301;301003;-;2;5;2;2;3;11;4;2810;3
2022;2;2;301;301003;-;2;5;2;2;3;11;5;31000;3
2022;2;2;301;301003;-;2;8;3;2;3;11;2;383539;1
2022;2;2;301;301003;-;2;8;3;2;3;11;4;730;1
2022;2;2;301;301003;-;2;8;3;2;3;11;5;10950;1
2022;2;2;301;301003;-;2;11;3;2;3;11;2;833859;2
2022;2;2;301;301003;-;2;11;3;2;3;11;4;1330;2
2022;2;2;301;301003;-;2;11;3;2;3;11;5;21900;1
2022;2;2;301;301004;-;2;5;2;2;3;11;2;128827;2
2022;2;2;301;301004;-;2;5;2;2;3;11;4;1095;1
2022;2;2;301;301004;-;2;5;3;2;3;11;2;249490;1
2022;2;2;301;301004;-;2;5;3;2;3;11;4;1095;1
2022;2;2;301;301004;-;2;11;5;2;3;11;1;1195128;1
2022;2;2;301;301004;-;2;11;5;2;3;11;4;6000;1
