ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:ProductoCodigo;ns1:Litros
2023;2;3;303;303004;-;2;5;2;2;3;11;8;5000
2023;2;3;304;304002;-;1;11;2;2;3;4;8;60000
2023;2;3;304;304002;-;1;11;2;2;3;11;8;22500
2023;2;8;314;314001;-;1;5;2;2;3;11;8;3000
2023;2;8;314;314001;-;1;5;3;2;3;11;8;2000
2023;2;8;314;314008;-;2;11;2;2;3;11;8;15800
2023;2;10;308;308002;-;1;5;2;2;3;11;8;70000
2023;2;10;308;308005;-;2;11;2;2;3;11;8;250000
2023;2;10;308;308005;-;2;11;3;2;3;11;8;233600
2023;2;10;309;309001;-;2;5;2;2;3;11;8;21550
2023;2;10;309;309003;-;2;5;2;2;3;11;8;54750
2023;2;10;309;309004;-;1;11;2;2;3;11;9;70000
2023;2;11;307;307001;-;2;5;2;2;3;11;8;16500
2023;2;19;315;315008;-;2;9;2;2;3;11;8;30000
2023;2;24;315;315005;-;2;11;2;2;3;11;6;4800
2023;2;24;315;315005;-;2;11;2;2;3;11;7;2400
2023;2;24;315;315005;-;2;11;2;2;3;11;8;45000
2023;4;2;505;505004;-;1;5;3;2;3;11;8;122000
2023;4;2;505;505004;-;2;5;3;2;3;11;8;20000
2023;4;2;505;505006;-;2;5;4;2;3;11;8;401500
2023;4;2;505;505006;-;2;11;2;2;3;11;8;36000
2023;4;2;505;505006;-;2;11;3;2;3;11;8;200000
2023;4;2;505;505006;-;2;11;4;2;3;11;8;79200
2023;4;5;503;503006;-;2;11;3;2;3;11;8;11000
2023;4;5;505;505003;-;1;5;2;4;4;11;8;73000
2023;4;5;505;505003;-;2;11;3;2;3;11;8;80000
2023;4;5;505;505005;-;2;11;4;2;3;11;8;417615
2023;4;5;505;505005;-;2;11;5;2;3;11;8;451200
