ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:TipoProduccionCodigo;ns1:Litros;ns1:CantidadTenedoresPorProduccionLeche
2023;1;2;204;204001;-;2;1;3;2;3;11;4;6000;1
2023;1;2;204;204001;-;2;1;3;2;3;11;5;3800;1
2023;1;3;0;0;-;18;5;1;1;1;11;1;20000;1
2023;1;3;0;0;-;18;5;1;1;1;11;4;1100;1
2023;1;12;203;203002;-;1;11;4;2;3;11;1;34000;1
2023;1;12;203;203002;-;1;11;4;2;3;11;4;365;1
2023;1;12;203;203002;-;1;11;4;2;3;11;5;1000;1
2023;1;12;203;203003;-;1;11;2;2;3;11;1;90000;1
2023;1;12;203;203003;-;1;11;2;2;3;11;4;800;1
2023;1;12;203;203003;-;1;11;2;2;3;11;5;10000;1
2023;1;12;203;203003;-;1;11;5;2;3;11;1;75000;1
2023;1;12;203;203003;-;1;11;5;2;3;11;4;500;1
2023;1;12;203;203003;-;1;11;5;2;3;11;5;100;1
2023;1;12;203;203004;-;1;11;2;2;3;11;1;110000;2
2023;1;12;203;203004;-;1;11;2;2;3;11;4;1800;2
2023;1;12;203;203004;-;1;11;2;2;3;11;5;6800;2
2023;1;12;203;203004;-;1;11;4;2;3;11;1;35000;1
2023;1;12;203;203004;-;1;11;4;2;3;11;4;800;1
2023;1;12;203;203004;-;1;11;4;2;3;11;5;2000;1
2023;1;12;203;203004;-;2;11;2;2;3;11;1;42000;1
2023;1;12;203;203004;-;2;11;2;2;3;11;4;300;1
2023;1;12;203;203004;-;2;11;2;2;3;11;5;2000;1
2023;2;1;302;302002;-;1;5;5;2;3;11;1;49000;1
2023;2;1;302;302002;-;1;5;5;2;3;11;4;2400;1
2023;2;1;302;302002;-;1;5;5;2;3;11;5;15000;1
2023;2;1;302;302002;-;2;5;5;2;3;11;2;997919;1
2023;2;1;302;302002;-;2;5;5;2;3;11;4;2904;1
2023;2;1;302;302002;-;2;5;5;2;3;11;5;33740;1
2023;2;1;302;302003;-;2;2;4;2;3;11;2;547341;1
2023;2;1;302;302003;-;2;2;4;2;3;11;4;2500;1
2023;2;1;302;302003;-;2;2;4;2;3;11;5;33500;1
2023;2;1;302;302003;-;2;5;3;2;3;11;1;45625;1
2023;2;1;302;302003;-;2;5;3;2;3;11;2;810663;2
2023;2;1;302;302003;-;2;5;3;2;3;11;4;2080;2
2023;2;1;302;302003;-;2;5;3;2;3;11;5;72620;2
2023;2;1;302;302003;-;2;11;4;2;3;11;1;430000;1
2023;2;1;302;302003;-;2;11;4;2;3;11;5;22000;1
2023;2;1;302;302003;-;2;14;5;2;3;11;2;984498;1
2023;2;1;302;302003;-;2;14;5;2;3;11;4;4400;1
2023;2;1;302;302003;-;2;14;5;2;3;11;5;45000;1
2023;2;1;302;302005;-;2;5;2;2;3;11;2;60000;1
2023;2;1;302;302005;-;2;5;3;2;3;11;2;786293;2
2023;2;1;302;302005;-;2;5;3;2;3;11;4;4300;2
2023;2;1;302;302005;-;2;5;3;2;3;11;5;56000;2
2023;2;1;302;302006;-;6;5;2;2;3;11;2;40658;1
2023;2;1;302;302006;-;6;5;2;2;3;11;4;2000;1
2023;2;1;302;302006;-;6;5;2;2;3;11;5;5000;1
2023;2;1;304;304005;-;2;5;3;2;3;11;2;850000;1
2023;2;1;304;304005;-;2;5;3;2;3;11;4;400;1
2023;2;1;304;304005;-;2;5;3;2;3;11;5;6500;1
2023;2;1;304;304006;-;2;5;2;2;3;11;2;146425;2
2023;2;1;304;304006;-;2;5;2;2;3;11;4;1000;2
2023;2;1;304;304006;-;2;5;2;2;3;11;5;7500;2
2023;2;1;304;304006;-;2;5;3;2;3;11;2;190000;1
2023;2;1;304;304006;-;2;5;3;2;3;11;4;745;1
2023;2;1;304;304006;-;2;5;3;2;3;11;5;2300;1
2023;2;1;304;304006;-;2;5;4;2;3;11;2;438000;1
2023;2;1;304;304006;-;2;5;4;2;3;11;4;1500;1
2023;2;1;304;304006;-;2;5;4;2;3;11;5;7000;1
2023;2;2;301;301001;-;2;8;2;2;3;11;2;118623;1
2023;2;2;301;301001;-;2;8;2;2;3;11;4;365;1
2023;2;2;301;301001;-;2;8;2;2;3;11;5;1300;1
2023;2;2;301;301001;-;2;11;3;2;3;11;2;253198;1
2023;2;2;301;301001;-;2;11;3;2;3;11;4;780;1
2023;2;2;301;301001;-;2;11;5;2;3;11;2;1395874;1
2023;2;2;301;301001;-;2;11;5;2;3;11;4;2214;1
2023;2;2;301;301001;-;2;11;5;2;3;11;5;24860;1
2023;2;2;301;301002;-;2;2;6;2;3;11;2;750329;1
2023;2;2;301;301002;-;2;2;6;2;3;11;4;2100;1
2023;2;2;301;301002;-;2;2;6;2;3;11;5;86400;1
2023;2;2;301;301002;-;2;5;2;2;3;11;2;40000;1
2023;2;2;301;301002;-;2;5;3;2;3;11;2;766044;1
2023;2;2;301;301002;-;2;5;3;2;3;11;4;1500;1
2023;2;2;301;301002;-;2;5;3;2;3;11;5;1500;1
2023;2;2;301;301002;-;2;5;4;2;3;11;2;1162583;1
2023;2;2;301;301002;-;2;5;4;2;3;11;4;400;1
2023;2;2;301;301002;-;2;5;4;2;3;11;5;7000;1
2023;2;2;301;301002;-;2;5;5;2;3;11;2;2608735;2
2023;2;2;301;301002;-;2;5;5;2;3;11;4;5650;2
2023;2;2;301;301002;-;2;5;5;2;3;11;5;82960;2
2023;2;2;301;301002;-;2;11;3;2;3;11;1;47000;1
2023;2;2;301;301002;-;2;11;3;2;3;11;2;273000;1
