ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:ProductoCodigo;ns1:Litros
2024;2;3;303;303004;-;2;5;2;2;3;11;8;91280
2024;2;8;314;314001;-;1;5;2;2;3;11;8;3000
2024;2;8;314;314001;-;1;5;3;2;3;11;8;2000
2024;2;8;314;314008;-;2;11;2;2;3;11;8;9100
2024;2;10;307;307002;-;2;5;4;2;3;11;8;18000
2024;2;10;308;308002;-;1;5;2;2;3;11;8;70000
2024;2;10;308;308005;-;2;11;2;2;3;11;8;146000
2024;2;10;308;308005;-;2;11;3;2;3;11;8;208670
2024;2;10;309;309001;-;2;5;2;2;3;11;8;36000
2024;2;10;309;309003;-;2;5;2;2;3;11;8;27375
2024;2;10;309;309004;-;1;11;2;2;3;11;9;70000
2024;2;11;307;307001;-;2;5;2;2;3;11;8;21800
2024;2;19;315;315008;-;2;9;2;2;3;11;8;30000
2024;2;24;315;315005;-;2;11;2;2;3;11;6;3000
2024;2;24;315;315005;-;2;11;2;2;3;11;7;2000
2024;2;24;315;315005;-;2;11;2;2;3;11;8;40000
2024;2;24;315;315005;-;2;11;2;2;3;11;9;1900
2024;4;2;505;505004;-;1;5;3;2;3;11;8;95000
2024;4;2;505;505004;-;2;5;3;2;3;11;8;10000
2024;4;2;505;505006;-;2;5;4;2;3;11;8;372000
2024;4;2;505;505006;-;2;11;2;2;3;11;8;29800
2024;4;2;505;505006;-;2;11;3;2;3;11;8;250000
2024;4;2;505;505006;-;2;11;4;2;3;11;8;98300
2024;4;5;503;503006;-;2;11;3;2;3;11;8;150000
2024;4;5;505;505003;-;1;5;2;4;4;11;8;146000
2024;4;5;505;505003;-;2;11;3;2;3;11;8;90000
2024;4;5;505;505005;-;2;11;4;2;3;11;8;466551
2024;4;5;505;505005;-;2;12;5;2;3;11;8;512700
2024;4;5;506;506005;-;1;11;2;2;3;11;8;65500
2024;4;5;506;506005;-;1;11;3;2;3;11;8;136511
2024;4;5;506;506005;-;2;5;2;2;3;11;8;52500
2024;4;5;506;506005;-;2;5;4;2;3;11;8;1193440
2024;4;5;506;506005;-;2;11;3;2;3;11;8;367800
2024;4;5;506;506005;-;2;11;4;2;3;11;8;237250
2024;4;5;506;506005;-;2;11;5;2;3;11;8;590262
2024;4;5;506;506006;-;2;1;4;2;3;11;8;291375
2024;4;5;506;506006;-;2;1;4;2;3;11;9;30000
2024;4;5;506;506006;-;2;5;2;2;3;11;8;27500
2024;4;5;506;506006;-;2;5;3;2;3;11;8;182500
2024;4;5;506;506006;-;2;11;2;2;3;11;8;91250
2024;4;5;506;506006;-;2;11;3;2;3;11;8;292000
