ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:TipoProduccionCodigo;ns1:Litros;ns1:CantidadTenedoresPorProduccionLeche
2024;1;2;204;204001;-;2;1;3;2;3;11;4;8100;1
2024;1;2;204;204001;-;2;1;3;2;3;11;5;3500;1
2024;1;3;0;0;-;18;5;1;1;1;11;1;20000;1
2024;1;3;0;0;-;18;5;1;1;1;11;4;1100;1
2024;1;6;202;202001;-;1;5;2;2;3;11;1;70;1
2024;1;6;202;202001;-;1;5;2;2;3;11;4;50;1
2024;1;12;203;203002;-;1;11;4;2;3;11;1;46000;1
2024;1;12;203;203002;-;1;11;4;2;3;11;4;365;1
2024;1;12;203;203002;-;1;11;4;2;3;11;5;1000;1
2024;1;12;203;203003;-;1;11;2;2;3;11;1;88000;1
2024;1;12;203;203003;-;1;11;2;2;3;11;4;800;1
2024;1;12;203;203003;-;1;11;2;2;3;11;5;10000;1
2024;1;12;203;203003;-;1;11;5;2;3;11;1;75000;1
2024;1;12;203;203003;-;1;11;5;2;3;11;4;500;1
2024;1;12;203;203003;-;1;11;5;2;3;11;5;100;1
2024;1;12;203;203004;-;1;11;2;2;3;11;1;115000;2
2024;1;12;203;203004;-;1;11;2;2;3;11;4;2000;2
2024;1;12;203;203004;-;1;11;2;2;3;11;5;5500;2
2024;1;12;203;203004;-;1;11;4;2;3;11;1;10000;1
2024;1;12;203;203004;-;1;11;4;2;3;11;4;1000;1
2024;1;12;203;203004;-;2;11;2;2;3;11;1;30000;1
2024;1;12;203;203004;-;2;11;2;2;3;11;4;300;1
2024;1;12;203;203004;-;2;11;2;2;3;11;5;1500;1
2024;2;1;302;302002;-;2;9;3;2;3;11;2;602467;1
2024;2;1;302;302002;-;2;9;3;2;3;11;4;3100;1
2024;2;1;302;302002;-;2;9;3;2;3;11;5;98135;1
2024;2;1;302;302003;-;2;2;4;2;3;11;2;592305;1
2024;2;1;302;302003;-;2;2;4;2;3;11;4;2500;1
2024;2;1;302;302003;-;2;2;4;2;3;11;5;54000;1
2024;2;1;302;302003;-;2;5;2;2;3;11;2;218415;1
2024;2;1;302;302003;-;2;5;2;2;3;11;4;490;1
2024;2;1;302;302003;-;2;5;2;2;3;11;5;9450;1
2024;2;1;302;302003;-;2;5;3;2;3;11;2;712097;1
2024;2;1;302;302003;-;2;5;3;2;3;11;4;1600;1
2024;2;1;302;302003;-;2;5;3;2;3;11;5;58000;1
2024;2;1;302;302003;-;2;11;4;2;3;11;1;430000;1
2024;2;1;302;302003;-;2;11;4;2;3;11;5;22000;1
2024;2;1;302;302003;-;2;14;5;2;3;11;1;1034651;1
2024;2;1;302;302003;-;2;14;5;2;3;11;4;4400;1
2024;2;1;302;302003;-;2;14;5;2;3;11;5;50000;1
2024;2;1;302;302005;-;2;5;2;2;3;11;2;380646;2
2024;2;1;302;302005;-;2;5;2;2;3;11;4;3600;1
2024;2;1;302;302005;-;2;5;2;2;3;11;5;36000;1
2024;2;1;302;302005;-;2;5;3;2;3;11;2;418981;1
2024;2;1;302;302005;-;2;5;3;2;3;11;4;700;1
2024;2;1;302;302005;-;2;5;3;2;3;11;5;6000;1
2024;2;1;304;304005;-;2;5;3;2;3;11;2;825000;1
2024;2;1;304;304005;-;2;5;3;2;3;11;4;400;1
2024;2;1;304;304005;-;2;5;3;2;3;11;5;6500;1
2024;2;1;304;304006;-;2;5;2;2;3;11;1;120000;1
2024;2;1;304;304006;-;2;5;2;2;3;11;2;17524;1
2024;2;1;304;304006;-;2;5;2;2;3;11;4;1000;2
2024;2;1;304;304006;-;2;5;2;2;3;11;5;7500;2
2024;2;1;304;304006;-;2;5;3;2;3;11;2;190000;1
2024;2;1;304;304006;-;2;5;3;2;3;11;4;745;1
2024;2;1;304;304006;-;2;5;3;2;3;11;5;2300;1
2024;2;1;304;304006;-;2;5;4;2;3;11;1;438000;1
2024;2;1;304;304006;-;2;5;4;2;3;11;4;1500;1
2024;2;1;304;304006;-;2;5;4;2;3;11;5;7000;1
2024;2;2;301;301001;-;2;11;3;2;3;11;2;525302;1
2024;2;2;301;301001;-;2;11;3;2;3;11;4;400;1
2024;2;2;301;301001;-;2;11;3;2;3;11;5;1250;1
2024;2;2;301;301002;-;2;2;6;2;3;11;2;841382;1
2024;2;2;301;301002;-;2;2;6;2;3;11;4;2100;1
2024;2;2;301;301002;-;2;2;6;2;3;11;5;79300;1
2024;2;2;301;301002;-;2;5;2;2;3;11;2;40000;1
2024;2;2;301;301002;-;2;5;3;2;3;11;2;1006023;1
2024;2;2;301;301002;-;2;5;3;2;3;11;4;1500;1
2024;2;2;301;301002;-;2;5;3;2;3;11;5;1500;1
2024;2;2;301;301002;-;2;5;4;2;3;11;2;1904308;1
2024;2;2;301;301002;-;2;5;4;2;3;11;4;4380;1
2024;2;2;301;301002;-;2;5;4;2;3;11;5;28700;1
2024;2;2;301;301002;-;2;5;5;2;3;11;2;3819672;2
2024;2;2;301;301002;-;2;5;5;2;3;11;4;6150;2
2024;2;2;301;301002;-;2;5;5;2;3;11;5;89600;2
2024;2;2;301;301002;-;2;11;3;2;3;11;1;47000;1
2024;2;2;301;301002;-;2;11;3;2;3;11;2;270100;1
2024;2;2;301;301002;-;2;11;3;2;3;11;4;2200;1
2024;2;2;301;301002;-;2;11;3;2;3;11;5;7500;1
2024;2;2;301;301003;-;2;5;2;2;3;11;2;60000;1
2024;2;2;301;301003;-;2;5;2;2;3;11;4;1350;2
2024;2;2;301;301003;-;2;5;2;2;3;11;5;1800;2
2024;2;2;301;301003;-;2;8;3;2;3;11;2;114124;1
2024;2;2;301;301003;-;2;8;3;2;3;11;4;730;1
2024;2;2;301;301003;-;2;8;3;2;3;11;5;7300;1
2024;2;2;301;301003;-;2;11;3;2;3;11;2;249577;1
2024;2;2;301;301003;-;2;11;3;2;3;11;4;730;1
2024;2;2;301;301003;-;2;11;3;2;3;11;5;23200;1
2024;2;2;301;301004;-;2;5;2;2;3;11;2;102140;2
2024;2;2;301;301004;-;2;5;2;2;3;11;4;1095;1
2024;2;2;301;301004;-;2;5;3;2;3;11;2;187224;1
2024;2;2;301;301004;-;2;5;3;2;3;11;4;1095;1
2024;2;2;301;301004;-;2;11;5;2;3;11;2;1176836;1
2024;2;2;301;301004;-;2;11;5;2;3;11;4;7000;1
2024;2;2;301;301004;-;2;11;5;2;3;11;5;50000;1
2024;2;2;301;301005;-;2;5;2;2;3;11;2;49000;1
2024;2;2;301;301005;-;2;5;4;2;3;11;2;592621;2
2024;2;2;301;301005;-;2;5;4;2;3;11;4;1700;2
2024;2;2;301;301005;-;2;5;4;2;3;11;5;27000;2
2024;2;2;301;301005;-;2;8;4;2;3;11;1;950000;1
2024;2;2;301;301005;-;2;8;4;2;3;11;4;1000;1
2024;2;2;301;301005;-;2;8;4;2;3;11;5;2000;1
2024;2;2;301;301005;-;2;8;5;2;3;11;2;1456241;1
2024;2;2;301;301005;-;2;8;5;2;3;11;4;300;1
2024;2;2;301;301005;-;2;8;5;2;3;11;5;92720;1
2024;2;2;301;301005;-;2;9;4;2;3;11;2;1172748;1
2024;2;2;301;301005;-;2;9;4;2;3;11;4;5475;1
2024;2;2;301;301005;-;2;9;4;2;3;11;5;54750;1
2024;2;2;301;301006;-;2;5;3;2;3;11;4;1000;1
2024;2;2;301;301006;-;2;5;3;2;3;11;5;60000;1
2024;2;2;301;301006;-;2;5;5;2;3;11;2;424618;1
2024;2;2;301;301006;-;2;5;5;2;3;11;4;10000;1
2024;2;2;301;301006;-;2;5;5;2;3;11;5;40000;1
2024;2;2;301;301006;-;2;11;2;2;3;11;2;189281;2
2024;2;2;301;301006;-;2;11;2;2;3;11;4;880;2
2024;2;2;301;301006;-;2;11;2;2;3;11;5;13380;2
2024;2;2;301;301007;-;2;5;2;2;3;11;2;360000;1
2024;2;2;301;301007;-;2;5;2;2;3;11;5;15000;1
2024;2;2;301;301007;-;2;5;4;2;3;11;2;1080708;1
2024;2;2;301;301007;-;2;5;4;2;3;11;4;2500;1
2024;2;2;301;301007;-;2;5;4;2;3;11;5;43000;1
2024;2;2;301;301007;-;2;11;4;2;3;11;2;108600;1
2024;2;2;301;301007;-;2;11;4;2;3;11;4;3600;1
2024;2;2;301;301007;-;2;11;4;2;3;11;5;3600;1
2024;2;3;302;302001;-;2;5;2;2;3;11;1;67999;1
2024;2;3;302;302001;-;2;11;4;2;3;11;2;982823;1
2024;2;3;302;302001;-;2;11;4;2;3;11;4;7200;1
2024;2;3;302;302001;-;2;11;4;2;3;11;5;67800;1
2024;2;3;302;302002;-;2;5;4;2;3;11;2;156000;1
2024;2;3;302;302002;-;2;5;4;2;3;11;4;3000;1
2024;2;3;302;302002;-;2;5;4;2;3;11;5;20000;1
2024;2;3;302;302002;-;2;8;2;2;3;11;2;206171;1
2024;2;3;302;302002;-;2;8;2;2;3;11;4;3650;1
2024;2;3;302;302002;-;2;8;2;2;3;11;5;14600;1
2024;2;3;303;303001;-;2;12;4;2;3;11;2;2013433;1
2024;2;3;303;303001;-;2;12;4;2;3;11;4;2200;1
2024;2;3;303;303001;-;2;12;4;2;3;11;5;100672;1
2024;2;3;303;303002;-;2;5;3;2;3;11;2;148144;1
2024;2;3;303;303002;-;2;5;3;2;3;11;4;1460;1
2024;2;3;303;303002;-;2;5;3;2;3;11;5;5475;1
2024;2;3;303;303003;-;2;5;2;2;3;11;2;325000;1
2024;2;3;303;303003;-;2;5;2;2;3;11;4;2000;1
2024;2;3;303;303003;-;2;5;2;2;3;11;5;15000;1
2024;2;3;303;303003;-;2;11;2;2;3;11;2;325000;1
2024;2;3;303;303003;-;2;11;2;2;3;11;4;2000;1
2024;2;3;303;303003;-;2;11;2;2;3;11;5;15000;1
2024;2;3;303;303003;-;2;11;3;2;3;11;2;730534;1
2024;2;3;303;303003;-;2;11;3;2;3;11;4;3740;1
2024;2;3;303;303003;-;2;11;3;2;3;11;5;31025;1
2024;2;3;303;303004;-;2;5;2;2;3;11;1;30;1
2024;2;3;303;303004;-;2;5;2;2;3;11;2;1;1
2024;2;3;303;303004;-;2;5;2;2;3;11;3;91280;2
2024;2;3;303;303004;-;2;5;2;2;3;11;4;320;2
2024;2;3;303;303004;-;2;5;2;2;3;11;5;40;1
2024;2;3;303;303004;-;2;11;5;2;3;11;2;852229;1
2024;2;3;303;303004;-;2;11;5;2;3;11;4;1500;1
2024;2;3;303;303004;-;2;11;5;2;3;11;5;40000;1
2024;2;3;304;304002;-;2;5;2;2;3;11;2;250000;1
2024;2;3;304;304002;-;2;5;2;2;3;11;4;1500;1
2024;2;3;304;304002;-;2;5;2;2;3;11;5;15000;1
2024;2;5;305;305004;-;1;2;6;2;3;11;2;261657;1
2024;2;5;305;305004;-;1;2;6;2;3;11;4;3380;1
2024;2;5;305;305004;-;1;2;6;2;3;11;5;41934;1
2024;2;6;310;310008;-;2;5;4;2;3;11;2;288448;1
2024;2;6;310;310008;-;2;5;4;2;3;11;4;50;1
2024;2;6;310;310008;-;2;5;4;2;3;11;5;200;1
2024;2;6;317;317006;-;2;5;2;2;3;11;1;400000;1
