ns1:NaturalezaJuridicaCodigo;ns1:NaturalezaJuridicaDescripcion
1;Organismos Oficiales
2;Sociedad Anónima por acciones nominativas
3;Sociedad Anónima por acciones al portador
4;Cooperativa
5;Persona física
6;Sociedades comanditarias por acciones nominativas
7;Sociedades comanditarias por acciones al portador
8;Sociedad de Hecho
9;Sociedad Civil
10;Sociedad de Capital e industria
11;Condominio de origen sucesorio o ganancial (suceci
12;Sociedad de Responsabilidad limitada
13;Otros
14;Empresa Unipersonal
15;Sociedad Accidental (o en partición)
16;Sociedad Colectiva
17;Sociedad Irregular
18;Grupo de Interés Económico
19;Consorcio
20;Fundación
21;Sociedad Agraria
22;Asociación Agraria de Responsabilidad Limitada
23;Ente autónomo
24;Servicio Descentralizado
25;Fideicomiso
26;Personas de Derecho Público No Estatal. (PPNE)
27;Organizaciones Habilitadas
