ATRIBUTO;VARIABLE;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
Actividad;ActividadCodigo;La actividad se extrae del tercer y cuarto dígito del número de Dicose del declarante en función de los criterios establecidos en el momento de su asignación.;Declaración Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de códigos “Actividades”
Área de Enumeración (AAEE);AreaEnumeracion;Área de enumeración en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;Calculado a partir de la Declaración Jurada formulario A1, el mapa de áreas de enumeración de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones están en el catastro rural. En algunos casos los padrones declarados se encuentran según el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados"
Área de Supervisión;AreaSupervision;Área de Supervisión en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;Ver área de enumeración;Ver área de enumeración;Ver área de enumeración
Departamento;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del área de enumeración en la que está clasificado el establecimiento;
Ejercicio;Ejercicio;Ejercicio ganadera al que corresponde la declaración;Declaración Jurada Formulario A1;No hay;
Especializacion MGAP;EspecializacionMGAPCodigo;En función del giro y el uso del suelo se establece si se trata de un Productor lechero, Agricola ganadero o Ganadero;Decalración Jurada;;Los criterios son establecidos por la DIEA 
Especie;EspecieCodigo;Especie de los animales;Declaración Jurada Formularios A1, A3,A4,A5 y A6;Las existencias de Suinos, Caprinos y Yeguarizos se incluyen a modo de referencia ya que no se han hecho controles de calidad sobre las mismas;Cuenta con una tabla de códigos “Especies”
Estrato;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento según la superficie declarada. Los datos de lechería consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;Calculado SNIG a partir de Declaración Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de códigos “Estratos”
Giro;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;Declaración Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de códigos “Giros”
Litros;Litros;Cantidad de litros industrializados en el establecimiento;Declaración Jurada Formulario A3 y A6;No hay;
Naturaleza Jurídica;NaturalezaJuridicaCodigo;Naturaleza jurídica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de códigos “Naturalezas Jurídicas”
Producto;ProductoCodigo;Tipo de producto.  Se refiere a las categorias: queso, crema, manteca y otros productos;Declaración Jurada Formulario A3 y A6;No hay;Cuenta con una tabla de códigos “Productos”
Seccional Policial;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;Registro de Tenedores de ganado;;
Tipo de Produccion MGAP;TipoProduccionMGAPCodigo;En función de la cantidad de animales por categoria se establece si se trata de un productor Ciclo completo, Invernador. Criador, Recriador, etc. ;Decalración Jurada;;Los criterios son establecidos por la DIEA 
