ns1:Ejercicio;ns1:DepartamentoCodigo;ns1:SeccionalPolicialCodigo;ns1:AreaSupervision;ns1:AreaEnumeracion;ns1:ActividadCodigo;ns1:GiroCodigo;ns1:NaturalezaJuridicaCodigo;ns1:EstratoCodigo;ns1:EspecializacionMGAPCodigo;ns1:TipoProduccionMGAPCodigo;ns1:EspecieCodigo;ns1:ProductoCodigo;ns1:Litros
2025;1;2;204;204001;-;18;5;1;1;1;11;8;54000
2025;1;2;204;204001;-;18;5;1;1;1;11;9;27000
2025;2;3;303;303004;-;02;5;2;2;3;11;8;91250
2025;2;6;317;317006;-;02;14;2;2;3;11;8;10000
2025;2;8;314;314001;-;01;5;2;2;3;11;8;3000
2025;2;8;314;314001;-;01;5;3;2;3;11;8;2000
2025;2;8;314;314008;-;02;11;2;2;3;11;8;9125
2025;2;10;308;308002;-;01;5;2;2;3;11;8;70000
2025;2;10;308;308005;-;02;11;2;2;3;11;8;220000
2025;2;10;308;308005;-;02;11;3;2;3;11;8;219000
2025;2;10;309;309001;-;02;5;2;2;3;11;8;36000
2025;2;10;309;309003;-;02;5;2;2;3;11;8;27375
2025;2;11;307;307001;-;02;5;2;2;3;11;8;28570
2025;2;19;315;315008;-;02;9;2;2;3;11;8;30000
2025;2;24;315;315005;-;02;11;2;2;3;11;6;144
2025;2;24;315;315005;-;02;11;2;2;3;11;7;480
2025;2;24;315;315005;-;02;11;2;2;3;11;8;40500
2025;2;24;315;315005;-;02;11;2;2;3;11;9;2076
2025;4;2;505;505004;-;01;5;3;2;3;11;8;60000
2025;4;2;505;505004;-;02;5;3;2;3;11;8;10000
2025;4;2;505;505006;-;02;5;4;2;3;11;8;366000
2025;4;2;505;505006;-;02;11;2;2;3;11;8;50000
2025;4;2;505;505006;-;02;11;3;2;3;11;8;250000
2025;4;2;505;505006;-;02;11;4;2;3;11;8;90000
2025;4;3;502;502001;-;02;8;3;2;3;11;8;5325
