fuente,ejercicio,estado,dataset_id,dataset_titulo,recurso_id,recurso_nombre,recurso_descripcion,formato,url,archivo,descargado,bytes,md5,http,error,recurso_modificado,dataset_modificado
clima,,,nasa-power-daily-ag,"NASA POWER, datos diarios regionales (comunidad AG, MERRA-2)",power_GWETROOT,GWETROOT,"Diario, 0,5° × 0,625°, 2001–2026, un archivo por año",JSON,https://power.larc.nasa.gov/api/temporal/daily/regional?parameters=GWETROOT&community=AG&latitude-min=-35&latitude-max=-30&longitude-min=-58.5&longitude-max=-53&start=20010101&end=20011231&format=JSON,data-raw/clima/power,2026-09-25T07:21:51+0000,,,,,,
clima,,,chirps-v2.0-monthly,"CHIRPS v2.0, precipitación mensual (UCSB/CHC vía IRI Data Library)",chirps_mensual_uy,"Precipitación mensual, Uruguay","mm/mes, 0,05°, enero 1991 – último mes publicado",NetCDF,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRPS/.v2p0/.monthly/.global/.precipitation/X/-58.60/-53.00/RANGEEDGES/Y/-35.20/-29.90/RANGEEDGES/T/(Jan%201991)/last/RANGE/data.nc,data-raw/clima/chirps_v2_mensual_uruguay.nc,2026-09-25T07:21:02+0000,20510208,e6ed0e45088bc3baeb98c700a87110ba,200,,,
clima,,,nasa-power-daily-ag,"NASA POWER, datos diarios regionales (comunidad AG, MERRA-2)",power_RH2M,RH2M,"Diario, 0,5° × 0,625°, 2001–2026, un archivo por año",JSON,https://power.larc.nasa.gov/api/temporal/daily/regional?parameters=RH2M&community=AG&latitude-min=-35&latitude-max=-30&longitude-min=-58.5&longitude-max=-53&start=20010101&end=20011231&format=JSON,data-raw/clima/power,2026-09-25T07:21:33+0000,,,,,,
clima,,,nasa-power-daily-ag,"NASA POWER, datos diarios regionales (comunidad AG, MERRA-2)",power_T2M,T2M,"Diario, 0,5° × 0,625°, 2001–2026, un archivo por año",JSON,https://power.larc.nasa.gov/api/temporal/daily/regional?parameters=T2M&community=AG&latitude-min=-35&latitude-max=-30&longitude-min=-58.5&longitude-max=-53&start=20010101&end=20011231&format=JSON,data-raw/clima/power,2026-09-25T07:21:18+0000,,,,,,
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,f383dbfc-4ef3-4246-a4bb-677ee619087a,Animales detallados,"Para el ejercicio ganadero, departamento, actividad, etc. detalla los animales declarados por categoría.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/f383dbfc-4ef3-4246-a4bb-677ee619087a/download/datosanimalesdetallados.csv,data-raw/dicose/2021/animales-detallados__f383dbfc.csv,2026-09-25T06:18:27+0000,9761010,c16c8952f340bbf74eb8d5e564d874e2,,,2021-09-14T12:20:20.659783,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,84025d7b-920d-4155-8842-3a04e0101794,Códigos de actividades,Contiene los códigos de actividad que se definen al momento de la creación del DICOSE en base a los procesos productivos que va a desarrollar.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/84025d7b-920d-4155-8842-3a04e0101794/download/actividades.csv,data-raw/dicose/2021/codigos-de-actividades__84025d7b.csv,2026-09-25T06:18:35+0000,514,9df2d43c48b5f86466c321843f24e17e,,,2021-09-14T12:47:32.867906,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,aac4e0a4-2b04-4ad9-8ad1-f3d755f6bf7e,Códigos de categoría,"Contiene las categorías para las especies (bovinos, ovinos, yeguarizos, suinos y caprinos) que figuran en la declaración jurada de existencias.",CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/aac4e0a4-2b04-4ad9-8ad1-f3d755f6bf7e/download/categorias.csv,data-raw/dicose/2021/codigos-de-categoria__aac4e0a4.csv,2026-09-25T06:18:36+0000,1484,a7be6a9e70bb6fa8f5d180eee3ab607e,,,2021-09-14T12:55:25.422330,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,2ec45398-ed2f-4d7c-b72a-e0d218bc39a0,Códigos de departamentos,Contiene los códigos y las descripciones de los 19 departamentos del Uruguay utilizados para la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/2ec45398-ed2f-4d7c-b72a-e0d218bc39a0/download/departamentos.csv,data-raw/dicose/2021/codigos-de-departamentos__2ec45398.csv,2026-09-25T06:18:37+0000,292,91288533b80820971ed02ba003fd2ac8,,,2021-09-14T12:57:16.380368,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,d24e1ba3-7b82-4e8f-8f5e-b9a06bbdc58c,Códigos de especies,Contienen los códigos y la descripción de las especies utilizadas para la presentación de la Declaración Jurada.,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/d24e1ba3-7b82-4e8f-8f5e-b9a06bbdc58c/download/especies.csv,data-raw/dicose/2021/codigos-de-especies__d24e1ba3.csv,2026-09-25T06:18:38+0000,129,4b4d0f99493f7576dd9da6032ea29343,,,2021-09-14T12:59:44.079981,2023-04-20T12:04:27.414395
dicose,2021,preliminar,mgap-datos-preliminares-basados-en-la-declaracion-jurada-de-existencias-dicose-snig-2021,Declaración jurada de existencias DICOSE – SNIG 2021,1e41f6d9-72ee-4c2c-8195-a13fd8289cf9,Códigos de estratos,Contienen los códigos y la descripción de los estratos para utilizar en la presentación de la Declaración Jurada. csv,CSV,https://catalogodatos.gub.uy/dataset/c055b37c-6136-43a6-adad-9e1c540be6c5/resource/1e41f6d9-72ee-4c2c-8195-a13fd8289cf9/download/estratos.csv,data-raw/dicose/2021/codigos-de-estratos__1e41f6d9.csv,2026-09-25T06:18:39+0000,198,4b4207d03199f0984ae23640f6554019,,,2021-09-14T13:03:20.705052,2023-04-20T12:04:27.414395
