id,departamento,ejercicio,prod,venta,rem,dens,vacas,lpv,tambos,prod_chg,venta_chg,rem_chg,dens_chg,vacas_chg,lpv_chg,tambos_chg,prod_cmp,venta_cmp,rem_cmp,dens_cmp,vacas_cmp,lpv_cmp,tambos_cmp
01,Montevideo,2021,136543,91833,1,258.59785299411675,35,,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato,sin_dato
01,Montevideo,2022,130940,95230,1,247.9863696494851,37,,3,-4.103469236797199,3.699105985865647,0,-4.103469236797204,5.714285714285714,,,ok,ok,ok,ok,ok,sin_dato,sin_anterior
01,Montevideo,2023,149708,105708,1,283.53095637303437,33,,3,14.333282419428746,11.002835240995484,0,14.333282419428757,-10.81081081081081,,0,ok,ok,ok,ok,ok,sin_dato,ok
01,Montevideo,2024,136395,100370,1,258.3175568072516,29,,3,-8.89264434766345,-5.04975971544254,0,-8.89264434766345,-12.121212121212121,,0,ok,ok,ok,ok,ok,sin_dato,ok
01,Montevideo,2025,111160,78000,1,210.52516305358765,30,,2,-18.50141134205799,-22.287536116369434,0,-18.501411342057995,3.4482758620689653,,-33.333333333333336,ok,ok,ok,ok,ok,sin_dato,ok
02,Artigas,2021,373250,335420,0,31.361969808076072,235,1588.2978723404256,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
02,Artigas,2022,505500,433100,0,42.47414799191548,233,2169.527896995708,13,35.43201607501675,29.121698169459187,,35.43201607501673,-0.851063829787234,36.59452265076795,,ok,ok,sin_produccion,ok,ok,ok,sin_anterior
02,Artigas,2023,443365,406000,0,37.25331478622277,217,2043.1566820276498,13,-12.291790306627101,-6.257215423689679,,-12.291790306627094,-6.866952789699571,-5.824825536608816,0,ok,ok,sin_produccion,ok,ok,ok,ok
02,Artigas,2024,419885,384070,0,35.280430523413315,216,1943.912037037037,14,-5.295862325623358,-5.401477832512315,,-5.295862325623369,-0.4608294930875576,-4.8574172437975465,7.6923076923076925,ok,ok,sin_produccion,ok,ok,ok,ok
02,Artigas,2025,390931,264016,0,32.8475987114293,198,1974.3989898989898,12,-6.895697631494338,-31.25836436066342,,-6.895697631494334,-8.333333333333334,1.5683298565516328,-14.285714285714286,ok,ok,sin_produccion,ok,ok,ok,ok
03,Canelones,2021,108777823,102972302,192,24022.69058751623,22852,4760.100778925258,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
03,Canelones,2022,116712943,110713985,188,25775.09679751008,22703,5140.859930405673,238,7.294795741591556,7.518218831312521,-2.0833333333333335,7.294795741591554,-0.6520217048835988,7.9989724832335085,,ok,ok,ok,ok,ok,ok,sin_anterior
03,Canelones,2023,112355579,106478304,185,24812.80867422982,21875,5136.25504,236,-3.733402558446324,-3.8257867784273145,-1.5957446808510638,-3.7334025584463366,-3.6470950975641987,-0.08957432157288868,-0.8403361344537815,ok,ok,ok,ok,ok,ok,ok
03,Canelones,2024,110567310,105045021,176,24417.884123531217,21662,5104.20598282707,231,-1.5916156686798792,-1.3460798549157957,-4.864864864864865,-1.5916156686798744,-0.9737142857142858,-0.6239771374929559,-2.1186440677966103,ok,ok,ok,ok,ok,ok,ok
03,Canelones,2025,112534896,107300898,166,24852.409363867464,21116,5329.366167834817,222,1.7795368269337475,2.14753348471414,-5.681818181818182,1.7795368269337466,-2.520542886160096,4.411267604898601,-3.896103896103896,ok,ok,ok,ok,ok,ok,ok
04,Cerro Largo,2021,7098071,6783515,23,519.4662203561137,2550,2783.5572549019607,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
04,Cerro Largo,2022,7788120,7363965,21,569.9668628391934,2272,3427.8697183098593,26,9.721641274087002,8.556773295260642,-8.695652173913043,9.721641274087,-10.901960784313726,23.147088577870544,,ok,ok,ok,ok,ok,ok,sin_anterior
04,Cerro Largo,2023,6577672,6204069,20,481.3812671896687,2332,2820.614065180103,25,-15.54223612373718,-15.750971114066946,-4.761904761904762,-15.542236123737187,2.640845070422535,-17.715248916436913,-3.8461538461538463,ok,ok,ok,ok,ok,ok,ok
04,Cerro Largo,2024,6737988,6365295,18,493.11385574543414,1993,3380.826894129453,25,2.437275680514322,2.598713844091676,-10,2.4372756805143214,-14.5368782161235,19.86137826741566,0,ok,ok,ok,ok,ok,ok,ok
04,Cerro Largo,2025,5677767,5307912,17,415.52249386525864,1840,3085.7429347826087,23,-15.734979047157697,-16.611688853383857,-5.555555555555555,-15.7349790471577,-7.676869041645761,-8.728159370100704,-8,ok,ok,ok,ok,ok,ok,ok
05,Colonia,2021,421918387,376178515,487,69051.71416400395,78377,5383.19133164066,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
05,Colonia,2022,433272750,391411247,491,70909.98403928753,75752,5719.6212641250395,656,2.6911277986090707,4.049335991450761,0.8213552361396304,2.6911277986090685,-3.3491968307028848,6.2496372831289335,,ok,ok,ok,ok,ok,ok,sin_anterior
05,Colonia,2023,439231580,398081865,466,71885.21393822032,74994,5856.889617836094,645,1.3753068938676618,1.7042479108935773,-5.091649694501018,1.3753068938676656,-1.0006336466363925,2.3999553007475734,-1.6768292682926829,ok,ok,ok,ok,ok,ok,ok
05,Colonia,2024,437630408,395280966,444,71623.16403786505,76028,5756.174146367128,638,-0.3645393621287431,-0.7035987434393677,-4.721030042918455,-0.3645393621287403,1.3787769688241727,-1.7196067885974022,-1.0852713178294573,ok,ok,ok,ok,ok,ok,ok
05,Colonia,2025,441356575,401625671,425,72232.9933947718,77164,5719.721307863771,616,0.8514415204895909,1.6051127035547672,-4.2792792792792795,0.851441520489583,1.4941863523964856,-0.6332824125267928,-3.4482758620689653,ok,ok,ok,ok,ok,ok,ok
06,Durazno,2021,193726786,33899305,13,15877.712436224978,25214,7683.3023716982625,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
06,Durazno,2022,199368590,32560007,14,16340.110762151593,22470,8872.656430796618,20,2.912247767327333,-3.950812560906485,7.6923076923076925,2.9122477673273264,-10.882842865074958,15.479724753243953,,ok,ok,ok,ok,ok,ok,sin_anterior
06,Durazno,2023,207228429,38557759,12,16984.297691660795,21032,9853.006323697224,19,3.9423657457777077,18.420610290409336,-14.285714285714286,3.9423657457777126,-6.399643969737427,11.04911365099016,-5,ok,ok,ok,ok,ok,ok,ok
06,Durazno,2024,205096846,25578291,12,16809.59463377831,21956,9341.266441974858,17,-1.028615142375084,-33.662402423335855,0,-1.0286151423750862,4.393305439330544,-5.193743563237066,-10.526315789473685,ok,ok,ok,ok,ok,ok,ok
06,Durazno,2025,212599351,24674294,11,17424.49471755578,22658,9382.970738811899,18,3.6580304116427027,-3.5342353404298983,-8.333333333333334,3.658030411642696,3.1973036983057024,0.44645227813696536,5.882352941176471,ok,ok,ok,ok,ok,ok,ok
07,Flores,2021,59460694,55665606,69,11565.034825010029,11471,5183.566733501874,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
07,Flores,2022,59750116,56143980,69,11621.327062519467,10024,5960.705905826017,97,0.48674507566292446,0.8593708653778062,0,0.4867450756629239,-12.614418969575452,14.992363603644192,,ok,ok,ok,ok,ok,ok,sin_anterior
07,Flores,2023,60147600,56925602,69,11698.637231525976,12483,4818.360970920452,99,0.6652438967649871,1.392174192139567,0,0.6652438967649884,24.531125299281722,-19.164591458690037,2.0618556701030926,ok,ok,ok,ok,ok,ok,ok
07,Flores,2024,60006073,57130536,65,11671.110397014438,10769,5572.111895254899,98,-0.2352994965717668,0.36000321964096227,-5.797101449275362,-0.23529949657176985,-13.730673716254106,15.643305449372704,-1.0101010101010102,ok,ok,ok,ok,ok,ok,ok
07,Flores,2025,56347358,53528118,68,10959.49464645178,11089,5081.374154567589,97,-6.0972411909041275,-6.305591111555474,4.615384615384615,-6.097241190904122,2.97149224626242,-8.807033130566023,-1.0204081632653061,ok,ok,ok,ok,ok,ok,ok
08,Florida,2021,640685101,618149082,390,61562.825865712206,116462,5501.237322044959,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
08,Florida,2022,530825455,508421066,381,51006.516306132195,100593,5276.962164365314,437,-17.14721410385974,-17.751060253131623,-2.3076923076923075,-17.14721410385973,-13.625903728254709,-4.0768129886146465,,ok,ok,ok,ok,ok,ok,sin_anterior
08,Florida,2023,591493338,568251343,378,56836.035848479725,95928,6166.013447585689,434,11.428970187573238,11.76785955600038,-0.7874015748031497,11.428970187573237,-4.637499627210641,16.84778581934946,-0.6864988558352403,ok,ok,ok,ok,ok,ok,ok
08,Florida,2024,589297290,566516171,362,56625.0196715689,99868,5900.761905715544,434,-0.3712718062768781,-0.3053529078944913,-4.232804232804233,-0.3712718062768762,4.107247101993162,-4.301832036613618,0,ok,ok,ok,ok,ok,ok,ok
08,Florida,2025,608116907,585010742,375,58433.37888332837,103472,5877.115615818772,436,3.193569242444675,3.2646148418594745,3.591160220994475,3.193569242444668,3.608763567909641,-0.4007328252622423,0.4608294930875576,ok,ok,ok,ok,ok,ok,ok
09,Lavalleja,2021,19097560,17112916,27,1903.7058250073117,3502,5453.329525985151,,,,,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_anterior,sin_dato
09,Lavalleja,2022,14875923,13791337,25,1482.879554637359,3420,4349.685087719298,43,-22.105635484323653,-19.40977797121192,-7.407407407407407,-22.105635484323656,-2.3415191319246147,-20.237992826345444,,ok,ok,ok,ok,ok,ok,sin_anterior
09,Lavalleja,2023,13633710,12686067,20,1359.0517921378666,3119,4371.179865341455,40,-8.350493613068581,-8.014233862895237,-20,-8.350493613068572,-8.801169590643275,0.4941685935573678,-6.976744186046512,ok,ok,ok,ok,ok,ok,ok
09,Lavalleja,2024,13697753,12809734,21,1365.4358030874823,2760,4962.953985507246,40,0.46974007808586216,0.9748253733801028,5,0.4697400780858593,-11.510099390830394,13.538086704184716,0,ok,ok,ok,ok,ok,ok,ok
09,Lavalleja,2025,13882912,12911171,19,1383.8930440571417,2665,5209.347842401501,38,1.3517472537284034,0.79187436679013,-9.523809523809524,1.351747253728397,-3.4420289855072466,4.964661320934488,-5,ok,ok,ok,ok,ok,ok,ok
