anio,mes,remision_millones_litros
2021,1,160.443428
2022,1,159.189149505
2023,1,158.321205021
2024,1,161.069205
2025,1,163.112947
2026,1,176.56187680000002
2021,2,133.919443
2022,2,132.977329154
2023,2,120.835789
2024,2,129.48745003
2025,2,131.288961
2026,2,140.343176
2021,3,143.300921
2022,3,140.769195718
2023,3,133.19600601000002
2024,3,136.49731631
2025,3,138.5729085
2026,3,157.44093
2021,4,149.0609598
2022,4,146.53677494200002
2023,4,152.414569222
2024,4,142.18820535
2025,4,150.18402
2026,4,166.5149716
2021,5,168.17879391999998
2022,5,164.669853
2023,5,169.74231376
2024,5,150.62319788999997
2025,5,170.891164
2026,5,188.37148863807042
2021,6,168.95213
2022,6,167.01777629300003
2023,6,176.269807051
2024,6,154.09048487
2025,6,175.6741064
2026,6,196.019203157895
2021,7,185.273532
2022,7,177.12040193200002
2023,7,188.593218477
2024,7,175.46402416
2025,7,191.47680843999999
2026,7,213.27260206960386
2021,8,202.900529
2022,8,199.521242027
2023,8,205.13695828
2024,8,192.2285125
2025,8,213.6595175
2026,8,217.58353763339127
2021,9,206.828905
2022,9,211.09050385299997
2023,9,208.18400669
2024,9,203.549298
2025,9,222.5406012
2021,10,219.982465
2022,10,216.215852
2023,10,221.069346437
2024,10,216.3916037777778
2025,10,235.381652
2021,11,193.198682
2022,11,191.53997196
2023,11,195.949364981
2024,11,190.43525177777778
2025,11,217.28195
2021,12,185.913012
2022,12,182.599608864
2023,12,184.70719164324274
2024,12,188.4505217777778
2025,12,201.645995
