ejercicio,mes_del_ejercicio,remision_millones_litros
2021,7,160.443428
2022,7,159.189149505
2023,7,158.321205021
2024,7,161.069205
2025,7,163.112947
2026,7,176.56187680000002
2021,8,133.919443
2022,8,132.977329154
2023,8,120.835789
2024,8,129.48745003
2025,8,131.288961
2026,8,140.343176
2021,9,143.300921
2022,9,140.769195718
2023,9,133.19600601000002
2024,9,136.49731631
2025,9,138.5729085
2026,9,157.44093
2021,10,149.0609598
2022,10,146.53677494200002
2023,10,152.414569222
2024,10,142.18820535
2025,10,150.18402
2026,10,166.5149716
2021,11,168.17879391999998
2022,11,164.669853
2023,11,169.74231376
2024,11,150.62319788999997
2025,11,170.891164
2026,11,188.37148863807042
2021,12,168.95213
2022,12,167.01777629300003
2023,12,176.269807051
2024,12,154.09048487
2025,12,175.6741064
2026,12,196.019203157895
2021,1,178.176819
2022,1,185.273532
2023,1,177.12040193200002
2024,1,188.593218477
2025,1,175.46402416
2026,1,191.47680843999999
2021,2,199.211085
2022,2,202.900529
2023,2,199.521242027
2024,2,205.13695828
2025,2,192.2285125
2026,2,213.6595175
2021,3,206.9573365
2022,3,206.828905
2023,3,211.09050385299997
2024,3,208.18400669
2025,3,203.549298
2026,3,222.5406012
2021,4,222.015218
2022,4,219.982465
2023,4,216.215852
2024,4,221.069346437
2025,4,216.3916037777778
2026,4,235.381652
2021,5,198.762049
2022,5,193.198682
2023,5,191.53997196
2024,5,195.949364981
2025,5,190.43525177777778
2026,5,217.28195
2021,6,181.066064
2022,6,185.913012
2023,6,182.599608864
2024,6,184.70719164324274
2025,6,188.4505217777778
2026,6,201.645995
