departamento,litros_inicio,litros_fin,variacion_pct
Tacuarembó,7416648,4025047,-45.73
Lavalleja,19097560,13882912,-27.31
Rivera,5757219,4399756,-23.58
Cerro Largo,7098071,5677767,-20.01
Río Negro,91558048,82430061,-9.97
Rocha,12045416,11083888,-7.98
Flores,59460694,56347358,-5.24
Florida,640685101,608116907,-5.08
Paysandú,52862761,52578914,-0.54
San José,504810292,519844749,2.98
Canelones,108777823,112534896,3.45
Colonia,421918387,441356575,4.61
Salto,20386403,21769982,6.79
Durazno,193726786,212599351,9.74
Soriano,119922666,132200132,10.24
Maldonado,12703213,14381337,13.21
